Study_ID,Product_Name,Batch_ID,Time_Point_Month,Test_Date,Study_Type,Storage_Temperature,Storage_Humidity,Packaging_Type,Potency_%,Impurity_%,Moisture_%,Dissolution_%,Potency_Lower,Potency_Upper,Impurity_Upper,Dissolution_Lower
ST-002,Amoxy-250,B2025-213,24,2026-08-09,Long-term,25.0,60.0,Bottle,97.26,0.31,2.37,95.7,95.0,105.0,1.0,80.0
ST-003,Metformin-XR,B2024-493,0,2023-10-17,Long-term,25.0,60.0,Strip,100.38,0.113,2.65,95.4,95.0,105.0,1.0,80.0
ST-003,Metformin-XR,B2024-493,3,2024-01-15,Long-term,25.0,60.0,Strip,99.0,0.315,1.67,92.7,95.0,105.0,1.0,80.0
ST-003,Metformin-XR,B2024-493,6,2024-04-14,Long-term,25.0,60.0,Strip,97.85,0.495,2.6,99.0,95.0,105.0,1.0,80.0
ST-003,Metformin-XR,B2024-493,9,2024-07-13,Long-term,25.0,60.0,Strip,96.69,0.677,2.47,95.0,95.0,105.0,1.0,80.0
ST-003,Metformin-XR,B2024-493,12,2024-10-11,Long-term,25.0,60.0,Strip,95.18,0.861,2.31,96.2,95.0,105.0,1.0,80.0
ST-003,Metformin-XR,B2024-493,18,2025-04-09,Long-term,25.0,60.0,Strip,92.87,1.268,2.47,98.5,95.0,105.0,1.0,80.0
ST-003,Metformin-XR,B2024-493,24,2025-10-06,Long-term,25.0,60.0,Strip,90.42,1.616,2.33,91.9,95.0,105.0,1.0,80.0
ST-003,Metformin-XR,B2024-493,36,2026-10-01,Long-term,25.0,60.0,Strip,85.21,2.366,2.48,95.5,95.0,105.0,1.0,80.0
ST-004,Para-500,B2023-755,0,2023-10-08,Long-term,25.0,60.0,Blister,98.96,0.188,1.39,91.9,95.0,105.0,1.0,80.0
ST-004,Para-500,B2023-755,3,2024-01-06,Long-term,25.0,60.0,Blister,97.91,0.381,1.21,92.1,95.0,105.0,1.0,80.0
ST-004,Para-500,B2023-755,6,2024-04-05,Long-term,25.0,60.0,Blister,96.92,0.582,1.19,91.4,95.0,105.0,1.0,80.0
ST-004,Para-500,B2023-755,9,2024-07-04,Long-term,25.0,60.0,Blister,95.69,0.802,2.59,96.3,95.0,105.0,1.0,80.0
ST-004,Para-500,B2023-755,12,2024-10-02,Long-term,25.0,60.0,Blister,94.25,1.033,2.47,96.2,95.0,105.0,1.0,80.0
ST-004,Para-500,B2023-755,18,2025-03-31,Long-term,25.0,60.0,Blister,91.95,1.449,1.72,95.1,95.0,105.0,1.0,80.0
ST-004,Para-500,B2023-755,24,2025-09-27,Long-term,25.0,60.0,Blister,89.46,1.858,2.7,97.3,95.0,105.0,1.0,80.0
ST-004,Para-500,B2023-755,36,2026-09-22,Long-term,25.0,60.0,Blister,84.47,2.715,2.19,90.9,95.0,105.0,1.0,80.0
ST-005,Omeparazole-20,B2023-527,0,2023-12-21,Long-term,25.0,60.0,Strip,99.43,0.13,1.85,97.1,95.0,105.0,1.0,80.0
ST-005,Omeparazole-20,B2023-527,3,2024-03-20,Long-term,25.0,60.0,Strip,98.73,0.223,2.09,90.1,95.0,105.0,1.0,80.0
ST-005,Omeparazole-20,B2023-527,6,2024-06-18,Long-term,25.0,60.0,Strip,98.14,0.286,2.24,100.0,95.0,105.0,1.0,80.0
ST-005,Omeparazole-20,B2023-527,9,2024-09-16,Long-term,25.0,60.0,Strip,97.53,0.358,2.02,97.7,95.0,105.0,1.0,80.0
ST-005,Omeparazole-20,B2023-527,12,2024-12-15,Long-term,25.0,60.0,Strip,96.86,0.394,1.3,92.1,95.0,105.0,1.0,80.0
ST-005,Omeparazole-20,B2023-527,18,2025-06-13,Long-term,25.0,60.0,Strip,95.97,0.549,1.69,94.2,95.0,105.0,1.0,80.0
ST-005,Omeparazole-20,B2023-527,24,2025-12-10,Long-term,25.0,60.0,Strip,94.71,0.658,1.7,90.0,95.0,105.0,1.0,80.0
ST-005,Omeparazole-20,B2023-527,36,2026-12-05,Long-term,25.0,60.0,Strip,92.42,0.936,2.1,95.1,95.0,105.0,1.0,80.0
ST-006,Para-500,B2025-738,0,2024-08-26,Long-term,25.0,60.0,Strip,99.39,0.064,2.94,97.4,95.0,105.0,1.0,80.0
ST-006,Para-500,B2025-738,3,2024-11-24,Long-term,25.0,60.0,Strip,99.12,0.115,2.05,97.1,95.0,105.0,1.0,80.0
ST-006,Para-500,B2025-738,6,2025-02-22,Long-term,25.0,60.0,Strip,98.4,0.195,1.8,97.9,95.0,105.0,1.0,80.0
ST-006,Para-500,B2025-738,9,2025-05-23,Long-term,25.0,60.0,Strip,95.04,0.737,2.88,92.6,95.0,105.0,1.0,80.0
ST-006,Para-500,B2025-738,12,2025-08-21,Long-term,25.0,60.0,Strip,97.56,0.324,1.66,99.3,95.0,105.0,1.0,80.0
ST-006,Para-500,B2025-738,18,2026-02-17,Long-term,25.0,60.0,Strip,96.7,0.45,2.74,98.7,95.0,105.0,1.0,80.0
ST-006,Para-500,B2025-738,24,2026-08-16,Long-term,25.0,60.0,Strip,95.83,0.571,2.62,99.5,95.0,105.0,1.0,80.0
ST-007,Amoxy-250,B2023-646,0,2023-06-16,Long-term,25.0,60.0,Strip,99.07,0.099,2.88,96.4,95.0,105.0,1.0,80.0
ST-007,Amoxy-250,B2023-646,3,2023-09-14,Long-term,25.0,60.0,Strip,97.69,0.371,2.77,99.3,95.0,105.0,1.0,80.0
ST-007,Amoxy-250,B2023-646,6,2023-12-13,Long-term,25.0,60.0,Strip,96.31,0.628,2.46,96.7,95.0,105.0,1.0,80.0
ST-007,Amoxy-250,B2023-646,9,2024-03-12,Long-term,25.0,60.0,Strip,94.86,0.902,2.74,95.2,95.0,105.0,1.0,80.0
ST-007,Amoxy-250,B2023-646,12,2024-06-10,Long-term,25.0,60.0,Strip,93.39,1.151,2.65,92.6,95.0,105.0,1.0,80.0
ST-007,Amoxy-250,B2023-646,18,2024-12-07,Long-term,25.0,60.0,Strip,90.83,1.7,1.08,98.9,95.0,105.0,1.0,80.0
ST-007,Amoxy-250,B2023-646,24,2025-06-05,Long-term,25.0,60.0,Strip,87.99,2.251,1.07,91.6,95.0,105.0,1.0,80.0
ST-008,Amoxy-250,B2024-133,0,2023-09-26,Long-term,25.0,60.0,Bottle,99.25,0.157,1.12,97.6,95.0,105.0,1.0,80.0
ST-008,Amoxy-250,B2024-133,3,2023-12-25,Long-term,25.0,60.0,Bottle,98.63,0.203,1.64,92.8,95.0,105.0,1.0,80.0
ST-008,Amoxy-250,B2024-133,6,2024-03-24,Long-term,25.0,60.0,Bottle,98.09,0.26,2.37,97.4,95.0,105.0,1.0,80.0
ST-008,Amoxy-250,B2024-133,9,2024-06-22,Long-term,25.0,60.0,Bottle,97.73,0.296,2.31,92.5,95.0,105.0,1.0,80.0
ST-008,Amoxy-250,B2024-133,12,2024-09-20,Long-term,25.0,60.0,Bottle,96.97,0.339,1.89,91.1,95.0,105.0,1.0,80.0
ST-008,Amoxy-250,B2024-133,18,2025-03-19,Long-term,25.0,60.0,Bottle,95.76,0.418,2.45,93.6,95.0,105.0,1.0,80.0
ST-008,Amoxy-250,B2024-133,24,2025-09-15,Long-term,25.0,60.0,Bottle,94.64,0.514,1.26,92.4,95.0,105.0,1.0,80.0
ST-008,Amoxy-250,B2024-133,36,2026-09-10,Long-term,25.0,60.0,Bottle,92.66,0.678,1.84,99.4,95.0,105.0,1.0,80.0
ST-009,Amoxy-250,B2025-829,0,2024-06-28,Long-term,25.0,60.0,Blister,99.67,0.156,1.88,93.1,95.0,105.0,1.0,80.0
ST-009,Amoxy-250,B2025-829,3,2024-09-26,Long-term,25.0,60.0,Blister,99.27,0.209,2.91,92.0,95.0,105.0,1.0,80.0
ST-009,Amoxy-250,B2025-829,6,2024-12-25,Long-term,25.0,60.0,Blister,98.82,0.275,2.63,94.1,95.0,105.0,1.0,80.0
ST-009,Amoxy-250,B2025-829,9,2025-03-25,Long-term,25.0,60.0,Blister,98.38,0.308,2.31,91.6,95.0,105.0,1.0,80.0
ST-009,Amoxy-250,B2025-829,12,2025-06-23,Long-term,25.0,60.0,Blister,97.58,0.361,2.18,95.2,95.0,105.0,1.0,80.0
ST-009,Amoxy-250,B2025-829,18,2025-12-20,Long-term,25.0,60.0,Blister,96.64,0.421,1.31,94.7,95.0,105.0,1.0,80.0
ST-009,Amoxy-250,B2025-829,24,2026-06-18,Long-term,25.0,60.0,Blister,95.8,0.53,1.77,92.7,95.0,105.0,1.0,80.0
ST-009,Amoxy-250,B2025-829,36,2027-06-13,Long-term,25.0,60.0,Blister,93.58,0.722,2.87,96.3,95.0,105.0,1.0,80.0
ST-010,Omeparazole-20,B2025-944,0,2024-02-21,Long-term,25.0,60.0,Strip,100.66,0.142,2.21,99.1,95.0,105.0,1.0,80.0
ST-010,Omeparazole-20,B2025-944,3,2024-05-21,Long-term,25.0,60.0,Strip,100.12,0.238,2.96,97.5,95.0,105.0,1.0,80.0
ST-010,Omeparazole-20,B2025-944,6,2024-08-19,Long-term,25.0,60.0,Strip,99.74,0.298,1.55,90.2,95.0,105.0,1.0,80.0
ST-010,Omeparazole-20,B2025-944,9,2024-11-17,Long-term,25.0,60.0,Strip,99.22,0.356,2.25,98.2,95.0,105.0,1.0,80.0
ST-010,Omeparazole-20,B2025-944,12,2025-02-15,Long-term,25.0,60.0,Strip,98.75,0.427,1.8,92.0,95.0,105.0,1.0,80.0
ST-010,Omeparazole-20,B2025-944,18,2025-08-14,Long-term,25.0,60.0,Strip,97.5,0.555,1.58,93.6,95.0,105.0,1.0,80.0
ST-010,Omeparazole-20,B2025-944,24,2026-02-10,Long-term,25.0,60.0,Strip,96.53,0.704,2.67,93.6,95.0,105.0,1.0,80.0
ST-011,Amoxy-250,B2025-845,0,2024-06-01,Long-term,25.0,60.0,Bottle,98.83,0.16,1.56,98.6,95.0,105.0,1.0,80.0
ST-011,Amoxy-250,B2025-845,3,2024-08-30,Long-term,25.0,60.0,Bottle,98.58,0.213,2.51,92.9,95.0,105.0,1.0,80.0
ST-011,Amoxy-250,B2025-845,6,2024-11-28,Long-term,25.0,60.0,Bottle,98.08,0.26,2.67,93.5,95.0,105.0,1.0,80.0
ST-011,Amoxy-250,B2025-845,9,2025-02-26,Long-term,25.0,60.0,Bottle,94.49,0.818,1.07,90.3,95.0,105.0,1.0,80.0
ST-011,Amoxy-250,B2025-845,12,2025-05-27,Long-term,25.0,60.0,Bottle,97.05,0.397,1.51,95.6,95.0,105.0,1.0,80.0
ST-011,Amoxy-250,B2025-845,18,2025-11-23,Long-term,25.0,60.0,Bottle,96.49,0.521,2.89,96.2,95.0,105.0,1.0,80.0
ST-011,Amoxy-250,B2025-845,24,2026-05-22,Long-term,25.0,60.0,Bottle,95.24,0.627,2.35,94.6,95.0,105.0,1.0,80.0
ST-011,Amoxy-250,B2025-845,36,2027-05-17,Long-term,25.0,60.0,Bottle,93.79,0.865,2.59,95.6,95.0,105.0,1.0,80.0
ST-012,Metformin-XR,B2025-719,0,2024-03-25,Long-term,25.0,60.0,Strip,100.99,0.203,2.68,91.8,95.0,105.0,1.0,80.0
ST-012,Metformin-XR,B2025-719,3,2024-06-23,Long-term,25.0,60.0,Strip,100.61,0.248,1.36,98.0,95.0,105.0,1.0,80.0
ST-012,Metformin-XR,B2025-719,6,2024-09-21,Long-term,25.0,60.0,Strip,100.28,0.345,2.25,97.8,95.0,105.0,1.0,80.0
ST-012,Metformin-XR,B2025-719,9,2024-12-20,Long-term,25.0,60.0,Strip,99.86,0.441,2.46,98.0,95.0,105.0,1.0,80.0
ST-012,Metformin-XR,B2025-719,12,2025-03-20,Long-term,25.0,60.0,Strip,99.45,0.534,1.65,93.4,95.0,105.0,1.0,80.0
ST-012,Metformin-XR,B2025-719,18,2025-09-16,Long-term,25.0,60.0,Strip,98.66,0.678,1.96,91.6,95.0,105.0,1.0,80.0
ST-012,Metformin-XR,B2025-719,24,2026-03-15,Long-term,25.0,60.0,Strip,97.82,0.863,1.32,94.9,95.0,105.0,1.0,80.0
ST-013,Para-500,B2024-951,0,2023-09-18,Long-term,25.0,60.0,Strip,100.73,0.14,2.8,94.3,95.0,105.0,1.0,80.0
ST-013,Para-500,B2024-951,3,2023-12-17,Long-term,25.0,60.0,Strip,100.24,0.228,1.22,90.7,95.0,105.0,1.0,80.0
ST-013,Para-500,B2024-951,6,2024-03-16,Long-term,25.0,60.0,Strip,99.75,0.266,2.03,92.8,95.0,105.0,1.0,80.0
ST-013,Para-500,B2024-951,9,2024-06-14,Long-term,25.0,60.0,Strip,96.19,0.854,2.48,95.4,95.0,105.0,1.0,80.0
ST-013,Para-500,B2024-951,12,2024-09-12,Long-term,25.0,60.0,Strip,98.87,0.381,2.82,90.7,95.0,105.0,1.0,80.0
ST-013,Para-500,B2024-951,18,2025-03-11,Long-term,25.0,60.0,Strip,97.76,0.509,2.6,98.7,95.0,105.0,1.0,80.0
ST-013,Para-500,B2024-951,24,2025-09-07,Long-term,25.0,60.0,Strip,97.1,0.634,1.26,92.6,95.0,105.0,1.0,80.0
ST-014,Amoxy-250,B2024-482,0,2024-04-13,Long-term,25.0,60.0,Strip,99.89,0.084,2.77,96.6,95.0,105.0,1.0,80.0
ST-014,Amoxy-250,B2024-482,3,2024-07-12,Long-term,25.0,60.0,Strip,99.36,0.142,2.04,94.8,95.0,105.0,1.0,80.0
ST-014,Amoxy-250,B2024-482,6,2024-10-10,Long-term,25.0,60.0,Strip,99.05,0.182,2.56,91.2,95.0,105.0,1.0,80.0
ST-014,Amoxy-250,B2024-482,9,2025-01-08,Long-term,25.0,60.0,Strip,98.46,0.235,2.79,96.9,95.0,105.0,1.0,80.0
ST-014,Amoxy-250,B2024-482,12,2025-04-08,Long-term,25.0,60.0,Strip,98.24,0.278,1.16,98.7,95.0,105.0,1.0,80.0
ST-014,Amoxy-250,B2024-482,18,2025-10-05,Long-term,25.0,60.0,Strip,97.22,0.382,1.22,98.5,95.0,105.0,1.0,80.0
ST-014,Amoxy-250,B2024-482,24,2026-04-03,Long-term,25.0,60.0,Strip,96.3,0.478,1.93,99.8,95.0,105.0,1.0,80.0
ST-014,Amoxy-250,B2024-482,36,2027-03-29,Long-term,25.0,60.0,Strip,94.51,0.685,1.22,94.5,95.0,105.0,1.0,80.0
ST-015,Omeparazole-20,B2024-597,0,2024-01-28,Long-term,25.0,60.0,Strip,99.07,0.104,1.58,99.1,95.0,105.0,1.0,80.0
ST-015,Omeparazole-20,B2024-597,3,2024-04-27,Long-term,25.0,60.0,Strip,98.37,0.173,2.75,93.3,95.0,105.0,1.0,80.0
ST-015,Omeparazole-20,B2024-597,6,2024-07-26,Long-term,25.0,60.0,Strip,97.9,0.255,1.37,99.0,95.0,105.0,1.0,80.0
ST-015,Omeparazole-20,B2024-597,9,2024-10-24,Long-term,25.0,60.0,Strip,97.25,0.361,2.21,97.2,95.0,105.0,1.0,80.0
ST-015,Omeparazole-20,B2024-597,12,2025-01-22,Long-term,25.0,60.0,Strip,96.77,0.428,2.74,97.8,95.0,105.0,1.0,80.0
ST-015,Omeparazole-20,B2024-597,18,2025-07-21,Long-term,25.0,60.0,Strip,95.67,0.601,2.76,98.1,95.0,105.0,1.0,80.0
ST-015,Omeparazole-20,B2024-597,24,2026-01-17,Long-term,25.0,60.0,Strip,94.5,0.741,1.02,94.5,95.0,105.0,1.0,80.0
ST-015,Omeparazole-20,B2024-597,36,2027-01-12,Long-term,25.0,60.0,Strip,92.04,1.087,1.3,96.2,95.0,105.0,1.0,80.0
ST-016,Metformin-XR,B2023-158,0,2024-03-26,Long-term,25.0,60.0,Bottle,100.85,0.147,1.1,91.7,95.0,105.0,1.0,80.0
ST-016,Metformin-XR,B2023-158,3,2024-06-24,Long-term,25.0,60.0,Bottle,100.34,0.246,2.07,92.7,95.0,105.0,1.0,80.0
ST-016,Metformin-XR,B2023-158,6,2024-09-22,Long-term,25.0,60.0,Bottle,99.6,0.336,2.23,99.4,95.0,105.0,1.0,80.0
ST-016,Metformin-XR,B2023-158,9,2024-12-21,Long-term,25.0,60.0,Bottle,99.28,0.385,1.91,94.1,95.0,105.0,1.0,80.0
ST-016,Metformin-XR,B2023-158,12,2025-03-21,Long-term,25.0,60.0,Bottle,98.85,0.484,1.94,97.3,95.0,105.0,1.0,80.0
ST-016,Metformin-XR,B2023-158,18,2025-09-17,Long-term,25.0,60.0,Bottle,97.68,0.681,2.69,90.6,95.0,105.0,1.0,80.0
ST-016,Metformin-XR,B2023-158,24,2026-03-16,Long-term,25.0,60.0,Bottle,96.63,0.848,1.09,92.2,95.0,105.0,1.0,80.0
ST-017,Omeparazole-20,B2024-294,0,2024-12-18,Long-term,25.0,60.0,Bottle,100.05,0.097,1.01,95.6,95.0,105.0,1.0,80.0
ST-017,Omeparazole-20,B2024-294,3,2025-03-18,Long-term,25.0,60.0,Bottle,99.32,0.172,2.78,98.4,95.0,105.0,1.0,80.0
ST-017,Omeparazole-20,B2024-294,6,2025-06-16,Long-term,25.0,60.0,Bottle,99.08,0.225,2.8,92.5,95.0,105.0,1.0,80.0
ST-017,Omeparazole-20,B2024-294,9,2025-09-14,Long-term,25.0,60.0,Bottle,98.52,0.338,2.38,92.7,95.0,105.0,1.0,80.0
ST-017,Omeparazole-20,B2024-294,12,2025-12-13,Long-term,25.0,60.0,Bottle,98.1,0.396,1.65,92.3,95.0,105.0,1.0,80.0
ST-017,Omeparazole-20,B2024-294,18,2026-06-11,Long-term,25.0,60.0,Bottle,97.06,0.551,2.9,93.3,95.0,105.0,1.0,80.0
ST-017,Omeparazole-20,B2024-294,24,2026-12-08,Long-term,25.0,60.0,Bottle,96.44,0.743,2.86,98.8,95.0,105.0,1.0,80.0
ST-018,Amoxy-250,B2025-125,0,2024-01-01,Long-term,25.0,60.0,Bottle,99.95,0.101,1.58,90.6,95.0,105.0,1.0,80.0
ST-018,Amoxy-250,B2025-125,3,2024-03-31,Long-term,25.0,60.0,Bottle,99.51,0.162,2.19,98.2,95.0,105.0,1.0,80.0
ST-018,Amoxy-250,B2025-125,6,2024-06-29,Long-term,25.0,60.0,Bottle,99.03,0.219,1.94,90.4,95.0,105.0,1.0,80.0
ST-018,Amoxy-250,B2025-125,9,2024-09-27,Long-term,25.0,60.0,Bottle,95.93,0.808,1.8,95.3,95.0,105.0,1.0,80.0
ST-018,Amoxy-250,B2025-125,12,2024-12-26,Long-term,25.0,60.0,Bottle,98.21,0.353,2.17,95.9,95.0,105.0,1.0,80.0
ST-018,Amoxy-250,B2025-125,18,2025-06-24,Long-term,25.0,60.0,Bottle,97.28,0.468,1.34,98.3,95.0,105.0,1.0,80.0
ST-018,Amoxy-250,B2025-125,24,2025-12-21,Long-term,25.0,60.0,Bottle,96.46,0.58,2.67,96.8,95.0,105.0,1.0,80.0
ST-019,Amoxy-250,B2025-229,0,2023-07-02,Long-term,25.0,60.0,Bottle,99.9,0.142,1.47,99.2,95.0,105.0,1.0,80.0
ST-019,Amoxy-250,B2025-229,3,2023-09-30,Long-term,25.0,60.0,Bottle,99.64,0.171,2.71,94.6,95.0,105.0,1.0,80.0
ST-019,Amoxy-250,B2025-229,6,2023-12-29,Long-term,25.0,60.0,Bottle,98.82,0.196,1.96,92.0,95.0,105.0,1.0,80.0
ST-019,Amoxy-250,B2025-229,9,2024-03-28,Long-term,25.0,60.0,Bottle,98.19,0.209,1.03,99.0,95.0,105.0,1.0,80.0
ST-019,Amoxy-250,B2025-229,12,2024-06-26,Long-term,25.0,60.0,Bottle,97.88,0.243,2.63,96.3,95.0,105.0,1.0,80.0
ST-019,Amoxy-250,B2025-229,18,2024-12-23,Long-term,25.0,60.0,Bottle,96.91,0.299,2.74,98.9,95.0,105.0,1.0,80.0
ST-019,Amoxy-250,B2025-229,24,2025-06-21,Long-term,25.0,60.0,Bottle,95.5,0.378,2.28,94.3,95.0,105.0,1.0,80.0
ST-020,Amoxy-250,B2023-434,0,2024-03-26,Long-term,25.0,60.0,Bottle,100.35,0.175,3.0,95.8,95.0,105.0,1.0,80.0
ST-020,Amoxy-250,B2023-434,3,2024-06-24,Long-term,25.0,60.0,Bottle,99.74,0.254,1.19,99.7,95.0,105.0,1.0,80.0
ST-020,Amoxy-250,B2023-434,6,2024-09-22,Long-term,25.0,60.0,Bottle,99.51,0.306,1.5,93.5,95.0,105.0,1.0,80.0
ST-020,Amoxy-250,B2023-434,9,2024-12-21,Long-term,25.0,60.0,Bottle,95.87,0.859,1.71,93.7,95.0,105.0,1.0,80.0
ST-020,Amoxy-250,B2023-434,12,2025-03-21,Long-term,25.0,60.0,Bottle,98.59,0.435,1.06,99.8,95.0,105.0,1.0,80.0
ST-020,Amoxy-250,B2023-434,18,2025-09-17,Long-term,25.0,60.0,Bottle,97.44,0.539,1.85,95.4,95.0,105.0,1.0,80.0
ST-020,Amoxy-250,B2023-434,24,2026-03-16,Long-term,25.0,60.0,Bottle,96.75,0.665,1.06,96.1,95.0,105.0,1.0,80.0
ST-021,Amoxy-250,B2023-932,0,2023-10-11,Long-term,25.0,60.0,Bottle,99.51,0.187,1.51,90.7,95.0,105.0,1.0,80.0
ST-021,Amoxy-250,B2023-932,3,2024-01-09,Long-term,25.0,60.0,Bottle,99.17,0.224,2.62,90.8,95.0,105.0,1.0,80.0
ST-021,Amoxy-250,B2023-932,6,2024-04-08,Long-term,25.0,60.0,Bottle,98.52,0.304,2.13,96.0,95.0,105.0,1.0,80.0
ST-021,Amoxy-250,B2023-932,9,2024-07-07,Long-term,25.0,60.0,Bottle,98.35,0.382,2.74,93.2,95.0,105.0,1.0,80.0
ST-021,Amoxy-250,B2023-932,12,2024-10-05,Long-term,25.0,60.0,Bottle,97.76,0.429,2.04,91.7,95.0,105.0,1.0,80.0
ST-021,Amoxy-250,B2023-932,18,2025-04-03,Long-term,25.0,60.0,Bottle,97.19,0.569,1.79,96.0,95.0,105.0,1.0,80.0
ST-021,Amoxy-250,B2023-932,24,2025-09-30,Long-term,25.0,60.0,Bottle,96.6,0.71,1.63,98.9,95.0,105.0,1.0,80.0
ST-021,Amoxy-250,B2023-932,36,2026-09-25,Long-term,25.0,60.0,Bottle,95.0,0.964,2.29,90.1,95.0,105.0,1.0,80.0
ST-022,Omeparazole-20,B2023-358,0,2023-05-26,Long-term,25.0,60.0,Blister,100.68,0.189,2.99,91.9,95.0,105.0,1.0,80.0
ST-022,Omeparazole-20,B2023-358,3,2023-08-24,Long-term,25.0,60.0,Blister,100.45,0.249,2.13,92.2,95.0,105.0,1.0,80.0
ST-022,Omeparazole-20,B2023-358,6,2023-11-22,Long-term,25.0,60.0,Blister,99.93,0.353,2.36,96.7,95.0,105.0,1.0,80.0
ST-022,Omeparazole-20,B2023-358,9,2024-02-20,Long-term,25.0,60.0,Blister,99.73,0.426,2.07,92.7,95.0,105.0,1.0,80.0
ST-022,Omeparazole-20,B2023-358,12,2024-05-20,Long-term,25.0,60.0,Blister,99.54,0.505,1.88,90.2,95.0,105.0,1.0,80.0
ST-022,Omeparazole-20,B2023-358,18,2024-11-16,Long-term,25.0,60.0,Blister,98.61,0.646,1.96,99.4,95.0,105.0,1.0,80.0
ST-022,Omeparazole-20,B2023-358,24,2025-05-15,Long-term,25.0,60.0,Blister,97.89,0.821,2.72,90.1,95.0,105.0,1.0,80.0
ST-022,Omeparazole-20,B2023-358,36,2026-05-10,Long-term,25.0,60.0,Blister,96.7,1.155,2.62,97.6,95.0,105.0,1.0,80.0
ST-023,Metformin-XR,B2023-646,0,2024-05-25,Long-term,25.0,60.0,Blister,99.18,0.147,2.51,99.6,95.0,105.0,1.0,80.0
ST-023,Metformin-XR,B2023-646,3,2024-08-23,Long-term,25.0,60.0,Blister,98.78,0.219,1.77,91.1,95.0,105.0,1.0,80.0
ST-023,Metformin-XR,B2023-646,6,2024-11-21,Long-term,25.0,60.0,Blister,98.48,0.303,1.28,99.7,95.0,105.0,1.0,80.0
ST-023,Metformin-XR,B2023-646,9,2025-02-19,Long-term,25.0,60.0,Blister,98.09,0.387,1.74,97.2,95.0,105.0,1.0,80.0
ST-023,Metformin-XR,B2023-646,12,2025-05-20,Long-term,25.0,60.0,Blister,97.44,0.457,2.01,92.2,95.0,105.0,1.0,80.0
ST-023,Metformin-XR,B2023-646,18,2025-11-16,Long-term,25.0,60.0,Blister,96.67,0.606,1.09,97.2,95.0,105.0,1.0,80.0
ST-023,Metformin-XR,B2023-646,24,2026-05-15,Long-term,25.0,60.0,Blister,96.01,0.731,2.76,96.3,95.0,105.0,1.0,80.0
ST-024,Ibuprofen-400,B2023-736,0,2024-06-11,Long-term,25.0,60.0,Blister,99.61,0.106,1.8,94.6,95.0,105.0,1.0,80.0
ST-024,Ibuprofen-400,B2023-736,3,2024-09-09,Long-term,25.0,60.0,Blister,98.44,0.335,1.15,97.0,95.0,105.0,1.0,80.0
ST-024,Ibuprofen-400,B2023-736,6,2024-12-08,Long-term,25.0,60.0,Blister,96.93,0.533,2.81,95.6,95.0,105.0,1.0,80.0
ST-024,Ibuprofen-400,B2023-736,9,2025-03-08,Long-term,25.0,60.0,Blister,95.52,0.746,1.37,91.9,95.0,105.0,1.0,80.0
ST-024,Ibuprofen-400,B2023-736,12,2025-06-06,Long-term,25.0,60.0,Blister,94.22,0.985,2.66,91.1,95.0,105.0,1.0,80.0
ST-024,Ibuprofen-400,B2023-736,18,2025-12-03,Long-term,25.0,60.0,Blister,91.02,1.42,1.16,96.2,95.0,105.0,1.0,80.0
